,cosmo_solubility_g_100g_log,solute_chiral_u,solute_reactive,solute_SlogP_VSA6,solute_SMR_VSA4,solute_PEOE_VSA+4,solute_logP(o/w),solute_PEOE_RPC-,solute_a_ICM,solute_rsynth,solvent_rsynth,solute_PEOE_VSA-0,solute_radius,solute_a_nN,solute_balabanJ,solute_GCUT_PEOE_2,solute_PEOE_RPC+,solute_PEOE_VSA-4,solute_PEOE_VSA_FPOS,solute_SlogP_VSA1
"2-(2-bromoethoxy)-1,3,5-trichlorobenzene",0.17991517528600318,0.0,0.03410174136163107,0.1660377007515845,0.0,0.0,0.012147226934393676,0.0,0.0,0.0,0.0,0.0,0.004048414990370967,0.0,0.008781936127457502,0.0,0.0,0.014140248267320339,0.0,0.0
"2-hydroxypropane-1,2,3-tricarboxylic acid",0.02871404900842569,0.0,0.0,0.0,0.014614196784976531,0.0,0.0,0.0,0.0,0.0,0.019007913577620817,0.014217609712617152,0.0,0.014496122032296227,0.2460086317736887,0.00897466627713369,0.0,0.0,0.0,0.0
gsk2904390a,0.3118248595887559,0.0,0.09306512967782903,0.0,0.0,0.0,0.0,0.0,0.020481305721142457,0.0,0.0,0.0,0.0,0.0032274183590750272,0.0,0.1394744212578863,0.0,0.0,0.0,0.0
(benzyldisulfanyl)methylbenzene,0.08579460110942426,0.0,0.04686127416650877,0.0,0.0,0.0,0.043228709702240666,0.0,0.0,0.024379835973934873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"pyrrolidine-2,5-dione",0.13952405743392296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011962453379327885,0.0,0.02790858291205713,0.0,0.013318060800405056,0.0,0.0,0.0,0.0,0.0
sclareol,0.1634982285484021,0.0,0.0,0.005710964191521188,0.013479849061199005,0.0,0.024181205086776614,0.0,0.008800353072948845,0.0,0.0,-0.005128901910875665,0.0,0.0,0.0,0.027831723838438873,0.007476530554170618,0.0,0.0,0.0
3-[bis(3-hydroxypropyl)phosphoryl]propan-1-ol,0.13523685247299144,0.0,0.0,0.016912488141648033,0.0,0.016731593017039442,0.0,0.014419956186447437,0.0,0.026415892666575253,0.0,0.013305175825161985,0.0,0.0,0.12925687512906783,0.0,0.0,0.0,0.0,0.013314205516969152
salicylic acid,0.1745603897605068,0.004310517731717477,-0.00025676471107114016,0.0,0.011440261420990527,0.0003001397132537464,7.988903349129297e-05,0.004826297817385131,0.003894766162902867,0.024892303028288917,-0.0030224420609900916,0.018273168377223828,0.025081070715017,0.012903681869763772,0.006399541695584366,0.0,0.019911987629972747,0.0,0.0,0.00241642158948018
4-aminobenzoic acid,0.1676249661349674,0.0,0.0,0.0,0.009034052879944384,0.01644614456358156,0.0,0.012809379787454016,0.0,0.018974376659797374,0.0,0.04395149732582095,0.02437202666144789,0.0,0.0033856921366801256,0.0,0.0073915381993561145,0.0,0.0,0.007001225760509396
haloperidol,0.2206097263530246,0.0,0.07887959594929529,0.01714756547687282,0.003800709647691465,0.002198485695972431,0.02584524458609093,0.0,0.0,0.0,0.0011222088498456988,0.0,-0.010038286249573656,0.0,0.0,0.0,0.0,0.0,0.005103224413562402,0.001434524304206384
